epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2182,1.05414,1.07875,1.22527,0.77417,0.76804,0.81156,0.58074,0.97667,1.0797,1.28419,0.000474465,0.000474465,0.000474465
2,169.531,1.02613,0.85776,1.19467,0.80644,0.80297,0.84385,0.59985,0.99354,0.99911,1.31078,0.000931973,0.000931973,0.000931973
3,251.987,0.99724,0.81252,1.18311,0.84144,0.86222,0.87004,0.6008,1.00655,0.96056,1.35025,0.00137062,0.00137062,0.00137062
4,333.751,0.95678,0.77428,1.16075,0.89195,0.89298,0.92567,0.69817,0.88446,0.70895,1.21906,0.00134412,0.00134412,0.00134412
5,415.706,0.90994,0.71644,1.13013,0.88816,0.86652,0.90768,0.68616,0.85758,0.76354,1.18325,0.00131582,0.00131582,0.00131582
6,497.531,0.88432,0.67797,1.11169,0.88422,0.88852,0.9145,0.70888,0.83953,0.68529,1.17265,0.00128753,0.00128753,0.00128753
7,578.654,0.8555,0.64192,1.09656,0.90476,0.88946,0.91377,0.70232,0.87246,0.6908,1.19987,0.00125923,0.00125923,0.00125923
8,660.013,0.83782,0.63011,1.08823,0.85919,0.88049,0.90853,0.70374,0.83288,0.67571,1.14154,0.00123094,0.00123094,0.00123094
9,741.189,0.8116,0.60655,1.07013,0.89088,0.88821,0.92223,0.71649,0.81555,0.626,1.12401,0.00120265,0.00120265,0.00120265
10,823.031,0.79423,0.58338,1.06146,0.91217,0.888,0.93235,0.72966,0.78638,0.58981,1.12345,0.00117435,0.00117435,0.00117435
11,904.595,0.77829,0.56737,1.05583,0.90253,0.91294,0.94474,0.74157,0.7803,0.56272,1.09576,0.00114606,0.00114606,0.00114606
12,986.409,0.77091,0.55965,1.05402,0.9063,0.92267,0.94275,0.73906,0.76372,0.54508,1.09112,0.00111776,0.00111776,0.00111776
13,1067.89,0.76164,0.54838,1.04628,0.91964,0.92153,0.94661,0.76006,0.75075,0.55609,1.0826,0.00108947,0.00108947,0.00108947
14,1149.02,0.75085,0.53685,1.03851,0.89802,0.93355,0.93225,0.73582,0.76003,0.54706,1.09723,0.00106118,0.00106118,0.00106118
15,1230.5,0.73575,0.52696,1.02977,0.91422,0.92388,0.95171,0.75934,0.74454,0.50895,1.07125,0.00103288,0.00103288,0.00103288
16,1312.53,0.72438,0.51243,1.02902,0.92863,0.93505,0.95451,0.77052,0.72723,0.47013,1.05613,0.00100459,0.00100459,0.00100459
17,1394.03,0.72759,0.503,1.02873,0.91975,0.93296,0.94934,0.76069,0.70469,0.46821,1.03435,0.000976293,0.000976293,0.000976293
18,1476.28,0.70938,0.49646,1.01735,0.94121,0.9368,0.9595,0.77817,0.7242,0.45743,1.0724,0.000947999,0.000947999,0.000947999
19,1558.71,0.70845,0.49731,1.01951,0.93446,0.95602,0.96574,0.78368,0.69595,0.45224,1.03052,0.000919704,0.000919704,0.000919704
20,1640.55,0.6939,0.48582,1.01066,0.93194,0.94255,0.96258,0.77414,0.70776,0.46028,1.03977,0.00089141,0.00089141,0.00089141
21,1722.89,0.68821,0.47483,1.00706,0.8882,0.92511,0.93686,0.74726,0.71863,0.52871,1.04766,0.000863116,0.000863116,0.000863116
22,1804.58,0.67972,0.46465,1.00182,0.92985,0.94868,0.95979,0.78616,0.67377,0.41796,1.01641,0.000834822,0.000834822,0.000834822
23,1886.29,0.67321,0.46185,1.00444,0.91764,0.94995,0.95862,0.77973,0.70294,0.43774,1.02517,0.000806528,0.000806528,0.000806528
24,1967.96,0.67541,0.46121,1.00045,0.93798,0.94282,0.96495,0.78748,0.67696,0.42589,0.99821,0.000778233,0.000778233,0.000778233
25,2049.4,0.66055,0.44905,0.99384,0.925,0.9388,0.96481,0.79089,0.68568,0.4303,1.02214,0.000749939,0.000749939,0.000749939
26,2131.21,0.65306,0.44377,0.99157,0.92603,0.95414,0.96481,0.78766,0.67478,0.41483,1.0104,0.000721645,0.000721645,0.000721645
27,2212.86,0.64752,0.44038,0.98913,0.93609,0.9519,0.96214,0.79296,0.66134,0.41146,1.00002,0.000693351,0.000693351,0.000693351
28,2294.62,0.65366,0.43945,0.9891,0.94878,0.93762,0.96835,0.79934,0.66584,0.39709,0.99789,0.000665057,0.000665057,0.000665057
29,2376.11,0.64639,0.43712,0.98996,0.93646,0.94764,0.96866,0.79993,0.67244,0.40524,1.00535,0.000636762,0.000636762,0.000636762
30,2457.38,0.63364,0.4318,0.9848,0.93386,0.95599,0.96964,0.80192,0.66439,0.40474,1.00356,0.000608468,0.000608468,0.000608468
31,2538.72,0.63301,0.42103,0.97868,0.93187,0.95724,0.96792,0.79733,0.65365,0.39132,0.99299,0.000580174,0.000580174,0.000580174
32,2619.64,0.62283,0.41916,0.97583,0.94387,0.94621,0.96858,0.8034,0.65173,0.3892,1.00272,0.00055188,0.00055188,0.00055188
33,2701.02,0.62177,0.41348,0.97701,0.94647,0.94651,0.96564,0.79835,0.64913,0.37769,0.98227,0.000523586,0.000523586,0.000523586
34,2782.22,0.61917,0.41127,0.97571,0.93673,0.95526,0.96753,0.80049,0.64939,0.38426,0.98277,0.000495291,0.000495291,0.000495291
35,2863.28,0.61136,0.40424,0.97166,0.93993,0.94347,0.97036,0.80075,0.66695,0.38835,1.00391,0.000466997,0.000466997,0.000466997
36,2946.82,0.60747,0.40279,0.96814,0.94492,0.94567,0.97066,0.8058,0.65123,0.38853,0.98734,0.000438703,0.000438703,0.000438703
37,3029.42,0.60349,0.39502,0.96529,0.94381,0.95823,0.96687,0.80231,0.64718,0.37666,0.98233,0.000410409,0.000410409,0.000410409
38,3110.88,0.60171,0.39354,0.9668,0.92829,0.96217,0.9667,0.8011,0.64501,0.37264,0.97594,0.000382115,0.000382115,0.000382115
39,3191.97,0.58843,0.38761,0.9594,0.93961,0.96031,0.97231,0.81027,0.64138,0.3628,0.96893,0.00035382,0.00035382,0.00035382
40,3273.26,0.59328,0.38797,0.96332,0.94655,0.95449,0.96962,0.81734,0.6301,0.364,0.96695,0.000325526,0.000325526,0.000325526
41,3354.31,0.53729,0.33003,0.93203,0.93929,0.96182,0.97033,0.81365,0.62705,0.36047,0.96948,0.000297232,0.000297232,0.000297232
42,3433.75,0.52763,0.32717,0.93252,0.94372,0.95978,0.96861,0.80409,0.65281,0.36328,0.98666,0.000268938,0.000268938,0.000268938
43,3512.99,0.52315,0.31732,0.92214,0.95349,0.95221,0.974,0.81695,0.63709,0.3504,0.97803,0.000240644,0.000240644,0.000240644
44,3592.45,0.51473,0.31547,0.92049,0.95274,0.9466,0.97448,0.82053,0.61994,0.34402,0.95657,0.000212349,0.000212349,0.000212349
45,3671.99,0.5098,0.30893,0.91564,0.95663,0.94447,0.97315,0.82212,0.61578,0.35049,0.95099,0.000184055,0.000184055,0.000184055
46,3752.08,0.50378,0.30395,0.91648,0.94059,0.9573,0.97242,0.82082,0.61525,0.34785,0.95947,0.000155761,0.000155761,0.000155761
